system:index,Area_Burning_ha,Area_Defor_in_Hotspot_ha,Area_Defor_with_Burn_ha,Area_Mechanical_ha,Area_Total_Defor_ha,Year_Transition,.geo
0,2820.944243640232,3294.872761950059,64659.77119063169,96931.49496815426,99752.43921179452,2016-2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1918.2051145411594,2256.706420090931,72573.45740481057,120216.09776200993,122134.3028765511,2017-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5202.794803293709,10111.177078974248,111686.46431282898,403979.1109857843,409181.9057890782,2018-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,42707.55537890174,46008.08430162421,87868.92757298896,73927.90116357825,116635.4565424797,2019-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1091.8438245345756,1488.7248787201756,60650.692055335785,102948.43491531654,104040.27873985119,2020-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1346.3162466210933,1529.8890767715268,50161.79620955247,66477.0979008844,67823.41414750562,2021-2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1083.8557777556775,1310.2104841765758,117050.98931745389,169206.3670624876,170290.22284024325,2022-2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5510.294494529542,6326.089017786986,103779.9453756739,129553.50264478422,135063.79713931368,2023-2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2519.477444684746,2911.336811753243,82201.36114284597,109999.13622057717,112518.61366526206,2024-2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
