system:index,Burn_Overlap,MCD64_Area,Year_Transition,dNBR_Area,.geo
0,0.0,148.97938125,2016-2017,8564.550768897061,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,248.24086093749997,1421.1458083149505,2017-2018,6941.761540545345,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,173.7821578125,79984.20495725413,2018-2019,21245.637448578444,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3202.2540781249972,78924.32929540986,2019-2020,31968.282282696277,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,49.654551562500004,694.8464453125002,2020-2021,9188.862777297783,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0,794.1144468750001,2021-2022,3627.9145792953427,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,223.4352375,3993.204810226719,2022-2023,20630.355782175204,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,223.4467453125,7444.00692897672,2023-2024,24568.01363396435,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,198.60801406249996,4468.294043750008,2024-2025,9320.123130030643,"{""type"":""MultiPoint"",""coordinates"":[]}"
