system:index,GFW_Loss,NDVI_Defor,Overlap,Year_Transition,.geo
0,92851.51108439635,61257.55714687485,11756.669902359072,2016-2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,74106.73990397056,61542.81321391542,8598.28367689033,2017-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,70092.43204140938,51975.977018651676,9885.781712806374,2018-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,81805.92006454348,92097.18780894825,17210.316361347996,2019-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,77205.81681106935,59892.01153546862,8700.67091586088,2020-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,79485.81638066458,70181.08816463844,10296.664882803307,2021-2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,102788.69537526589,90180.04178080295,17442.12084894911,2022-2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,99062.95712630512,77260.49157114848,13791.687183039263,2023-2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,79933.31628938613,48104.17126191475,7741.853342861508,2024-2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
