system:index,hotspot_count,year,.geo
0,1264.3843137254903,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1273.1372549019611,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2026.4901960784316,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,40733.94117647055,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,799.6313725490196,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,853.7058823529412,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,537.8274509803921,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2573.1764705882347,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1485.2784313725488,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1035.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
